stcounty,name,name_short,stusab,dra_county,dra_distressed,on_lower_mississippi_river
01005,Barbour County,Barbour,AL,TRUE,TRUE,FALSE
01011,Bullock County,Bullock,AL,TRUE,TRUE,FALSE
01013,Butler County,Butler,AL,TRUE,TRUE,FALSE
01023,Choctaw County,Choctaw,AL,TRUE,TRUE,FALSE
01025,Clarke County,Clarke,AL,TRUE,TRUE,FALSE
01035,Conecuh County,Conecuh,AL,TRUE,TRUE,FALSE
01047,Dallas County,Dallas,AL,TRUE,TRUE,FALSE
01053,Escambia County,Escambia,AL,TRUE,TRUE,FALSE
01063,Greene County,Greene,AL,TRUE,TRUE,FALSE
01065,Hale County,Hale,AL,TRUE,TRUE,FALSE
01085,Lowndes County,Lowndes,AL,TRUE,TRUE,FALSE
01087,Macon County,Macon,AL,TRUE,TRUE,FALSE
01091,Marengo County,Marengo,AL,TRUE,TRUE,FALSE
01099,Monroe County,Monroe,AL,TRUE,TRUE,FALSE
01105,Perry County,Perry,AL,TRUE,TRUE,FALSE
01107,Pickens County,Pickens,AL,TRUE,TRUE,FALSE
01113,Russell County,Russell,AL,TRUE,TRUE,FALSE
01119,Sumter County,Sumter,AL,TRUE,TRUE,FALSE
01129,Washington County,Washington,AL,TRUE,TRUE,FALSE
01131,Wilcox County,Wilcox,AL,TRUE,TRUE,FALSE
05001,Arkansas County,Arkansas,AR,TRUE,FALSE,FALSE
05003,Ashley County,Ashley,AR,TRUE,TRUE,FALSE
05005,Baxter County,Baxter,AR,TRUE,TRUE,FALSE
05011,Bradley County,Bradley,AR,TRUE,TRUE,FALSE
05013,Calhoun County,Calhoun,AR,TRUE,TRUE,FALSE
05017,Chicot County,Chicot,AR,TRUE,TRUE,TRUE
05021,Clay County,Clay,AR,TRUE,TRUE,FALSE
05025,Cleveland County,Cleveland,AR,TRUE,TRUE,FALSE
05031,Craighead County,Craighead,AR,TRUE,TRUE,FALSE
05035,Crittenden County,Crittenden,AR,TRUE,TRUE,TRUE
05037,Cross County,Cross,AR,TRUE,TRUE,FALSE
05039,Dallas County,Dallas,AR,TRUE,TRUE,FALSE
05041,Desha County,Desha,AR,TRUE,TRUE,TRUE
05043,Drew County,Drew,AR,TRUE,TRUE,FALSE
05049,Fulton County,Fulton,AR,TRUE,TRUE,FALSE
05053,Grant County,Grant,AR,TRUE,TRUE,FALSE
05055,Greene County,Greene,AR,TRUE,TRUE,FALSE
05063,Independence County,Independence,AR,TRUE,TRUE,FALSE
05065,Izard County,Izard,AR,TRUE,TRUE,FALSE
05067,Jackson County,Jackson,AR,TRUE,TRUE,FALSE
05069,Jefferson County,Jefferson,AR,TRUE,TRUE,FALSE
05075,Lawrence County,Lawrence,AR,TRUE,TRUE,FALSE
05077,Lee County,Lee,AR,TRUE,TRUE,TRUE
05079,Lincoln County,Lincoln,AR,TRUE,TRUE,FALSE
05085,Lonoke County,Lonoke,AR,TRUE,TRUE,FALSE
05089,Marion County,Marion,AR,TRUE,TRUE,FALSE
05093,Mississippi County,Mississippi,AR,TRUE,TRUE,TRUE
05095,Monroe County,Monroe,AR,TRUE,TRUE,FALSE
05103,Ouachita County,Ouachita,AR,TRUE,TRUE,FALSE
05107,Phillips County,Phillips,AR,TRUE,TRUE,TRUE
05111,Poinsett County,Poinsett,AR,TRUE,TRUE,FALSE
05117,Prairie County,Prairie,AR,TRUE,TRUE,FALSE
05119,Pulaski County,Pulaski,AR,TRUE,FALSE,FALSE
05121,Randolph County,Randolph,AR,TRUE,TRUE,FALSE
05123,St. Francis County,St. Francis,AR,TRUE,TRUE,FALSE
05129,Searcy County,Searcy,AR,TRUE,TRUE,FALSE
05135,Sharp County,Sharp,AR,TRUE,TRUE,FALSE
05137,Stone County,Stone,AR,TRUE,TRUE,FALSE
05139,Union County,Union,AR,TRUE,TRUE,FALSE
05141,Van Buren County,Van Buren,AR,TRUE,TRUE,FALSE
05145,White County,White,AR,TRUE,TRUE,FALSE
05147,Woodruff County,Woodruff,AR,TRUE,TRUE,FALSE
17003,Alexander County,Alexander,IL,TRUE,TRUE,FALSE
17055,Franklin County,Franklin,IL,TRUE,TRUE,FALSE
17059,Gallatin County,Gallatin,IL,TRUE,TRUE,FALSE
17065,Hamilton County,Hamilton,IL,TRUE,TRUE,FALSE
17069,Hardin County,Hardin,IL,TRUE,TRUE,FALSE
17077,Jackson County,Jackson,IL,TRUE,TRUE,FALSE
17087,Johnson County,Johnson,IL,TRUE,TRUE,FALSE
17127,Massac County,Massac,IL,TRUE,TRUE,FALSE
17145,Perry County,Perry,IL,TRUE,TRUE,FALSE
17151,Pope County,Pope,IL,TRUE,TRUE,FALSE
17153,Pulaski County,Pulaski,IL,TRUE,TRUE,FALSE
17157,Randolph County,Randolph,IL,TRUE,TRUE,FALSE
17165,Saline County,Saline,IL,TRUE,TRUE,FALSE
17181,Union County,Union,IL,TRUE,TRUE,FALSE
17193,White County,White,IL,TRUE,FALSE,FALSE
17199,Williamson County,Williamson,IL,TRUE,FALSE,FALSE
21007,Ballard County,Ballard,KY,TRUE,TRUE,TRUE
21033,Caldwell County,Caldwell,KY,TRUE,TRUE,FALSE
21035,Calloway County,Calloway,KY,TRUE,TRUE,FALSE
21039,Carlisle County,Carlisle,KY,TRUE,TRUE,TRUE
21047,Christian County,Christian,KY,TRUE,TRUE,FALSE
21055,Crittenden County,Crittenden,KY,TRUE,TRUE,FALSE
21075,Fulton County,Fulton,KY,TRUE,TRUE,TRUE
21083,Graves County,Graves,KY,TRUE,TRUE,FALSE
21101,Henderson County,Henderson,KY,TRUE,TRUE,FALSE
21105,Hickman County,Hickman,KY,TRUE,TRUE,TRUE
21107,Hopkins County,Hopkins,KY,TRUE,TRUE,FALSE
21139,Livingston County,Livingston,KY,TRUE,TRUE,FALSE
21143,Lyon County,Lyon,KY,TRUE,TRUE,FALSE
21145,McCracken County,McCracken,KY,TRUE,FALSE,FALSE
21149,McLean County,McLean,KY,TRUE,TRUE,FALSE
21157,Marshall County,Marshall,KY,TRUE,TRUE,FALSE
21177,Muhlenberg County,Muhlenberg,KY,TRUE,TRUE,FALSE
21219,Todd County,Todd,KY,TRUE,TRUE,FALSE
21221,Trigg County,Trigg,KY,TRUE,TRUE,FALSE
21225,Union County,Union,KY,TRUE,TRUE,FALSE
21233,Webster County,Webster,KY,TRUE,TRUE,FALSE
22001,Acadia Parish,Acadia,LA,TRUE,TRUE,FALSE
22003,Allen Parish,Allen,LA,TRUE,TRUE,FALSE
22005,Ascension Parish,Ascension,LA,TRUE,FALSE,TRUE
22007,Assumption Parish,Assumption,LA,TRUE,TRUE,FALSE
22009,Avoyelles Parish,Avoyelles,LA,TRUE,TRUE,FALSE
22011,Beauregard Parish,Beauregard,LA,TRUE,TRUE,FALSE
22013,Bienville Parish,Bienville,LA,TRUE,TRUE,FALSE
22021,Caldwell Parish,Caldwell,LA,TRUE,TRUE,FALSE
22023,Cameron Parish,Cameron,LA,TRUE,FALSE,FALSE
22025,Catahoula Parish,Catahoula,LA,TRUE,TRUE,FALSE
22027,Claiborne Parish,Claiborne,LA,TRUE,TRUE,FALSE
22029,Concordia Parish,Concordia,LA,TRUE,TRUE,TRUE
22031,De Soto Parish,De Soto,LA,TRUE,TRUE,FALSE
22033,East Baton Rouge Parish,East Baton Rouge,LA,TRUE,FALSE,TRUE
